"account_id","customer_id","branch_id","account_type","currency","balance","opened_at","account_status"
1,1,4,checking,RSD,190814.53,2022-05-01,inactive
2,2,10,checking,RSD,305926.83,2022-08-06,active
3,3,3,foreign currency,RSD,382241.83,2024-05-17,active
4,4,3,foreign currency,RSD,112074.30,2021-03-02,active
5,5,9,checking,RSD,230116.31,2022-01-24,active
6,6,8,checking,RSD,116861.56,2021-11-19,active
7,7,1,checking,RSD,25531.99,2022-09-13,active
8,8,8,foreign currency,RSD,319899.17,2025-12-09,active
9,9,5,savings,RSD,836442.77,2025-02-15,active
10,10,8,savings,RSD,430670.89,2023-03-20,active
11,11,3,savings,RSD,866236.56,2025-12-15,active
12,12,8,checking,RSD,429168.23,2023-10-22,active
13,13,3,savings,RSD,538247.80,2026-06-01,inactive
14,14,1,savings,RSD,1488551.24,2022-01-14,active
15,15,8,checking,RSD,259332.20,2022-06-13,active
16,16,8,savings,RSD,884044.78,2020-01-22,inactive
17,17,8,savings,RSD,586237.37,2025-03-25,active
18,18,4,savings,RSD,402111.06,2023-06-17,active
19,19,6,savings,RSD,1286412.93,2025-03-21,active
20,20,2,foreign currency,RSD,389826.17,2022-01-11,active
21,21,8,foreign currency,RSD,128942.77,2020-05-31,active
22,22,8,savings,RSD,161244.06,2022-01-20,active
23,23,9,savings,RSD,653534.74,2024-07-23,active
24,24,8,checking,RSD,40237.73,2018-06-19,active
25,25,5,checking,RSD,346578.60,2024-12-23,inactive
26,26,6,savings,RSD,1378480.12,2024-08-03,active
27,27,1,foreign currency,RSD,404237.97,2024-12-25,active
28,28,5,checking,RSD,287742.80,2024-07-14,active
29,29,5,foreign currency,RSD,56373.85,2025-07-30,active
30,30,10,savings,RSD,1278623.85,2025-07-21,inactive
31,31,8,checking,RSD,273100.67,2025-03-23,active
32,32,8,savings,RSD,1143202.36,2022-01-12,active
33,33,6,checking,RSD,430977.53,2026-02-02,active
34,34,10,checking,RSD,324256.43,2023-03-29,active
35,35,9,checking,RSD,326980.51,2025-04-13,active
36,36,3,savings,RSD,587565.84,2025-01-01,active
37,37,1,checking,RSD,409612.44,2025-06-30,active
38,38,5,savings,RSD,842506.23,2024-04-14,active
39,39,4,checking,RSD,2188.97,2026-05-15,active
40,40,5,checking,RSD,105286.35,2026-02-12,active
41,41,5,savings,RSD,1223549.03,2023-10-04,inactive
42,42,4,savings,RSD,275101.01,2024-10-05,active
43,43,9,foreign currency,RSD,442358.55,2024-12-27,active
44,44,8,foreign currency,RSD,402576.22,2021-10-22,active
45,45,8,savings,RSD,1032813.98,2025-05-05,active
46,46,10,checking,RSD,421859.99,2022-05-16,active
47,47,2,savings,RSD,1045257.47,2023-07-24,inactive
48,48,4,foreign currency,RSD,364106.15,2019-09-01,active
49,49,10,checking,RSD,474926.70,2023-08-09,active
50,50,3,checking,RSD,350262.49,2024-11-03,active
51,51,8,foreign currency,RSD,256441.51,2023-06-28,active
52,52,8,foreign currency,RSD,406989.78,2023-08-09,active
53,53,4,checking,RSD,188126.22,2022-12-31,active
54,54,7,foreign currency,RSD,279460.76,2024-10-18,active
55,55,8,savings,RSD,1014243.72,2025-08-30,active
56,56,4,foreign currency,RSD,254105.25,2022-05-01,active
57,57,9,checking,RSD,479790.50,2025-11-07,active
58,58,9,foreign currency,RSD,54663.69,2024-08-31,active
59,59,7,savings,RSD,983165.17,2021-12-13,active
60,60,10,checking,RSD,158674.83,2024-10-28,active
61,61,7,checking,RSD,28914.21,2025-06-29,active
62,62,4,checking,RSD,485590.94,2019-05-03,active
63,63,6,foreign currency,RSD,460331.25,2025-05-24,active
64,64,10,savings,RSD,552422.90,2024-06-30,active
65,65,8,savings,RSD,1371749.41,2019-06-19,active
66,66,5,savings,RSD,363968.08,2024-10-27,active
67,67,1,savings,RSD,744356.90,2021-10-06,active
68,68,9,foreign currency,RSD,144587.43,2025-03-03,active
69,69,6,checking,RSD,283997.49,2024-12-08,active
70,70,6,foreign currency,RSD,185360.58,2021-03-12,active
71,71,10,checking,RSD,465310.04,2025-10-10,active
72,72,2,checking,RSD,297069.02,2026-06-09,active
73,73,7,savings,RSD,1280948.69,2025-04-04,active
74,74,5,savings,RSD,733914.92,2022-03-22,active
75,75,6,checking,RSD,21719.15,2024-03-01,active
76,76,8,checking,RSD,284633.89,2023-07-27,active
77,77,5,savings,RSD,345857.46,2025-02-22,active
78,78,2,foreign currency,RSD,99167.30,2026-07-16,active
79,79,6,foreign currency,RSD,235915.84,2024-11-04,active
80,80,9,foreign currency,RSD,308426.95,2026-01-07,active
81,81,3,savings,RSD,1487575.55,2026-01-29,active
82,82,10,checking,RSD,264013.95,2024-03-28,active
83,83,3,foreign currency,RSD,106052.36,2021-12-16,inactive
84,84,9,checking,RSD,128064.95,2021-06-28,active
85,85,5,checking,RSD,212860.56,2025-02-23,active
86,86,3,savings,RSD,1116717.07,2025-09-10,inactive
87,87,6,foreign currency,RSD,375734.71,2022-12-11,active
88,88,2,foreign currency,RSD,166692.01,2023-12-18,active
89,89,3,foreign currency,RSD,281005.14,2026-07-17,active
90,90,6,foreign currency,RSD,2770.63,2026-01-08,active
91,91,2,foreign currency,RSD,435526.29,2024-07-03,active
92,92,8,savings,RSD,898312.45,2024-11-15,active
93,93,3,savings,RSD,776764.51,2026-07-03,active
94,94,2,checking,RSD,257529.31,2024-05-16,active
95,95,8,foreign currency,RSD,286813.54,2023-10-28,active
96,96,3,checking,RSD,57188.70,2023-09-27,inactive
97,97,8,savings,RSD,424862.02,2020-01-13,active
98,98,9,foreign currency,RSD,16982.76,2022-09-15,inactive
99,99,6,savings,RSD,272230.02,2025-11-25,active
100,100,7,foreign currency,RSD,4118.68,2021-04-09,active
101,101,8,savings,RSD,497940.65,2024-11-05,active
102,102,2,savings,RSD,1362029.53,2023-11-17,active
103,103,5,foreign currency,RSD,402036.95,2023-02-11,inactive
104,104,2,foreign currency,RSD,300792.43,2024-01-13,active
105,105,6,savings,RSD,517243.64,2024-11-12,active
106,106,3,savings,RSD,102652.09,2025-06-17,inactive
107,107,6,foreign currency,RSD,100700.78,2026-03-02,active
108,108,6,checking,RSD,46928.15,2023-08-23,active
109,109,6,foreign currency,RSD,452846.86,2025-01-10,active
110,110,8,checking,RSD,306471.50,2024-04-10,active
111,111,2,savings,RSD,180747.80,2023-07-28,active
112,112,3,checking,RSD,138328.92,2022-03-04,active
113,113,10,foreign currency,RSD,369267.47,2023-10-23,inactive
114,114,4,checking,RSD,220714.88,2026-01-30,active
115,115,2,checking,RSD,471122.36,2022-11-24,active
116,116,9,foreign currency,RSD,472779.11,2024-04-03,active
117,117,9,foreign currency,RSD,460800.96,2024-04-23,active
118,118,5,foreign currency,RSD,363114.33,2026-06-06,active
119,119,4,checking,RSD,46706.66,2026-07-16,active
120,120,9,foreign currency,RSD,83051.18,2022-04-12,active
121,121,1,foreign currency,RSD,53167.48,2022-03-22,active
122,122,8,checking,RSD,276074.92,2025-04-28,active
123,123,7,savings,RSD,796487.69,2019-11-04,active
124,124,6,foreign currency,RSD,215390.03,2022-03-11,active
125,125,6,foreign currency,RSD,411550.69,2024-06-07,active
126,126,3,checking,RSD,225120.63,2022-06-03,active
127,127,5,foreign currency,RSD,418591.08,2022-12-11,active
128,128,6,foreign currency,RSD,370851.23,2022-07-10,active
129,129,9,savings,RSD,234423.37,2024-11-24,active
130,130,2,checking,RSD,241705.92,2023-05-28,inactive
131,131,7,checking,RSD,9409.12,2025-10-20,active
