"loan_id","customer_id","branch_id","loan_type","principal_amount","interest_rate","start_date","term_months","monthly_payment","outstanding_balance","loan_status"
1,1,3,auto,2535433.70,13.32,2025-03-14,60,47885.89,715987.43,active
2,2,5,auto,2722640.29,3.24,2021-08-31,60,46847.56,1637514.72,paid_off
3,4,6,auto,3243609.13,9.95,2024-05-05,60,59439.14,1537495.08,active
4,5,10,cash,1898201.75,9.11,2026-07-29,36,57531.33,1193452.70,active
5,6,10,mortgage,26478412.45,9.00,2023-03-19,240,120256.12,7368665.18,active
6,8,2,business,4127992.08,3.12,2026-01-08,84,50676.02,2990823.06,paid_off
7,15,9,business,8303749.68,12.83,2020-05-17,84,111537.15,4994002.64,active
8,17,7,cash,1400255.36,5.79,2024-10-24,36,41148.06,1227547.58,active
9,19,7,business,3144243.04,8.65,2024-01-11,84,40669.29,2674078.65,paid_off
10,21,9,auto,2551234.21,7.12,2021-08-02,60,45548.03,1787232.40,paid_off
11,22,3,cash,993745.90,13.61,2020-08-26,36,31360.96,206060.89,active
12,23,9,auto,3841530.33,8.69,2022-05-29,60,69589.32,1534694.05,paid_off
13,26,7,mortgage,6374433.68,13.70,2025-12-05,240,30198.88,2557621.15,active
14,28,5,auto,957171.19,13.49,2022-04-09,60,18104.89,951646.31,active
15,29,3,business,1865150.64,6.98,2026-05-23,84,23754.03,1345933.46,paid_off
16,31,1,mortgage,20892473.54,10.59,2022-12-06,240,96270.78,12441382.24,active
17,32,6,auto,1408262.85,9.90,2021-12-10,60,25794.68,683878.23,paid_off
18,33,4,auto,2619730.61,7.84,2025-08-31,60,47085.29,476326.23,active
19,37,3,auto,3508557.35,6.66,2025-06-24,60,62370.45,1982746.58,active
20,39,3,cash,111119.82,3.23,2025-09-04,36,3186.36,23035.31,active
21,40,4,auto,1114083.78,13.18,2024-09-20,60,21015.33,406084.04,paid_off
22,42,10,cash,453776.18,8.36,2025-06-19,36,13658.66,311801.89,active
23,43,8,business,4542586.50,5.67,2025-03-10,84,57144.66,3755299.00,active
24,45,7,mortgage,27850619.91,10.92,2024-03-16,240,128716.28,17291246.48,active
25,46,8,auto,2409969.12,4.09,2022-01-16,60,41808.95,2337137.82,active
26,51,8,business,3135861.33,13.10,2024-06-19,84,42222.13,2204655.82,active
27,54,10,cash,1284959.12,6.02,2022-08-26,36,37842.05,720903.70,active
28,56,8,auto,1188582.97,5.16,2025-07-16,60,20831.90,551487.66,active
29,59,5,cash,766945.15,13.02,2026-07-27,36,24077.82,133990.69,paid_off
30,61,8,cash,1206232.05,11.39,2022-08-31,36,37322.83,413194.63,active
31,62,2,cash,1110943.97,6.48,2024-07-22,36,32859.25,607004.41,active
32,68,1,cash,1173483.22,13.81,2024-05-22,36,37098.37,212555.07,active
33,69,4,business,7305546.32,6.77,2024-04-24,84,92858.71,1216330.33,active
34,70,1,auto,620027.14,5.35,2023-10-02,60,10886.64,467339.66,active
35,73,1,auto,3546520.07,13.69,2024-10-04,60,67200.64,2117932.21,active
36,74,3,mortgage,24212309.29,9.55,2024-06-14,240,110519.10,16868832.13,active
37,78,3,auto,3190071.70,13.66,2023-09-09,60,60430.59,3156441.77,paid_off
38,81,4,business,3962361.65,7.66,2024-09-13,84,50784.27,2234712.02,paid_off
39,82,8,mortgage,5769035.18,13.51,2024-02-09,240,27285.13,4047930.54,active
40,89,9,auto,1309605.50,13.09,2026-04-08,60,24683.88,1110615.50,active
41,90,3,mortgage,19038178.98,5.00,2025-08-26,240,83292.03,14300703.34,active
42,92,6,cash,939819.60,6.05,2025-08-30,36,27685.52,239706.15,paid_off
43,93,3,mortgage,17763384.26,12.22,2024-06-15,240,83058.62,17094681.72,active
44,96,4,cash,841645.01,11.44,2022-10-18,36,26053.59,398126.25,paid_off
45,98,3,mortgage,16997739.37,3.41,2025-06-02,240,73239.01,6122786.27,active
46,100,9,auto,3829963.62,7.36,2024-07-13,60,68530.82,1014463.76,active
47,103,9,cash,260943.81,4.91,2024-01-06,36,7604.34,146477.78,active
48,104,3,cash,719291.75,7.37,2026-07-21,36,21452.88,291746.89,active
49,107,8,auto,2787831.96,8.19,2024-06-23,60,50269.26,904818.46,active
50,108,5,mortgage,20376383.33,12.11,2021-06-12,240,95183.18,11492463.63,active
51,109,7,auto,1199287.73,9.30,2024-12-07,60,21847.02,826675.59,active
52,111,1,mortgage,12440109.69,9.29,2021-03-29,240,56649.15,5228975.04,active
53,113,2,mortgage,19243519.17,10.11,2020-05-24,240,88287.66,3376362.94,active
54,115,8,mortgage,18805357.61,12.05,2023-01-04,240,87797.51,6641780.77,active
55,117,1,auto,3991801.76,9.52,2026-03-16,60,72863.69,2265484.97,active
56,118,5,cash,1147830.67,8.42,2022-04-29,36,34568.83,410586.62,paid_off
57,123,7,business,8313969.29,5.92,2021-09-26,84,104835.19,5767193.31,paid_off
58,124,2,auto,2106691.87,11.28,2024-01-05,60,39072.11,1018487.64,active
59,126,9,mortgage,15080649.84,6.17,2022-10-22,240,66713.02,7989991.48,active
60,128,7,cash,1715165.29,4.43,2021-02-03,36,49754.09,1250836.55,active
61,129,2,mortgage,13981614.23,8.41,2025-11-08,240,63156.12,5093933.99,active
62,134,7,business,2480531.76,11.18,2019-10-29,84,32831.61,836203.31,active
63,136,8,business,1194125.75,4.32,2024-01-18,84,14829.90,466974.10,active
64,137,10,business,6940320.44,11.77,2019-08-17,84,92347.57,5374832.58,active
65,138,5,cash,786832.96,13.14,2024-12-31,36,24728.41,514947.83,active
66,141,2,business,6281833.00,6.51,2023-12-12,84,79652.15,3112527.73,active
67,142,10,auto,2589031.21,4.81,2024-06-08,60,45226.06,1623164.30,active
68,144,8,business,7165544.45,6.77,2024-05-05,84,91079.19,2192808.53,active
69,145,2,auto,2098354.71,11.51,2024-05-10,60,38997.92,640898.62,defaulted
70,148,1,cash,847623.46,7.82,2024-02-03,36,25386.32,811580.72,active
71,150,4,business,8163041.14,8.52,2023-09-30,84,105458.72,7074620.45,active
72,152,5,auto,1442949.69,11.76,2025-12-30,60,26877.34,509859.96,paid_off
73,153,1,cash,1978942.49,13.70,2025-06-25,36,62501.60,494267.40,active
74,155,1,cash,1584581.41,8.03,2021-01-01,36,47550.65,1115119.06,active
75,156,1,cash,1146625.72,13.09,2024-09-10,36,36019.97,227495.07,paid_off
76,157,6,mortgage,5286283.74,5.76,2022-02-08,240,23294.89,2499169.94,active
77,159,7,auto,3008746.24,9.27,2024-03-03,60,54794.28,903756.63,active
78,161,8,mortgage,21992151.52,6.88,2025-02-15,240,97938.38,16939765.60,active
79,163,9,cash,1101391.25,5.04,2026-07-30,36,32136.15,596092.09,paid_off
80,164,7,cash,515487.65,11.15,2026-06-03,36,15915.68,436136.01,paid_off
81,165,2,mortgage,17123563.60,12.46,2020-06-02,240,80238.17,13433426.21,active
82,167,9,auto,3577413.60,3.13,2022-06-08,60,61489.78,1110460.13,active
83,173,2,auto,1801187.50,11.90,2023-04-11,60,33592.15,1725115.62,active
84,176,9,cash,906959.23,9.28,2026-02-11,36,27531.25,808125.18,active
85,177,3,mortgage,26701914.87,4.32,2023-07-16,240,116064.32,25591239.21,paid_off
86,178,8,auto,539115.39,13.76,2025-07-20,60,10221.63,331316.43,active
87,179,8,auto,1189124.16,6.44,2019-12-30,60,21095.06,954788.03,active
88,180,4,auto,3524937.82,12.76,2023-06-28,60,66245.33,3196104.27,active
89,181,4,auto,2527514.82,13.16,2024-12-24,60,47668.93,2329691.70,paid_off
90,182,6,business,2018995.13,12.53,2024-01-12,84,27047.32,1852698.87,paid_off
91,184,2,auto,1404023.93,6.66,2025-10-13,60,24958.87,558904.75,paid_off
92,185,9,cash,278779.27,7.65,2025-12-28,36,8336.27,167906.78,active
93,188,9,business,6504304.65,5.10,2026-01-08,84,81381.24,4946476.09,active
94,189,1,mortgage,6100026.76,9.14,2025-07-03,240,27739.87,1471181.62,paid_off
95,192,6,auto,1019825.48,9.74,2023-09-13,60,18652.61,982734.60,active
96,195,3,mortgage,8070674.38,9.82,2022-05-09,240,36930.06,3757346.99,paid_off
97,196,10,auto,630495.49,3.67,2026-06-23,60,10893.91,182845.59,paid_off
98,198,3,mortgage,16110145.42,11.03,2025-02-20,240,74529.56,7671123.45,overdue
99,199,3,mortgage,5724344.47,12.16,2020-08-27,240,26751.77,5444916.99,active
100,201,1,mortgage,17889647.75,9.03,2024-11-14,240,81271.18,11781140.43,active
101,205,2,cash,595355.73,13.40,2021-12-21,36,18753.71,91411.12,active
102,206,3,cash,1618063.73,12.96,2025-05-08,36,50771.24,1202474.49,paid_off
103,208,9,mortgage,18871073.67,5.41,2024-10-03,240,82883.33,9046135.92,paid_off
104,213,5,mortgage,8746730.96,12.58,2026-07-31,240,41029.46,3020854.03,overdue
105,214,10,mortgage,26906872.74,6.98,2025-01-23,240,119937.39,24630587.75,active
106,222,10,auto,2442177.07,10.86,2025-08-27,60,45123.29,2070431.17,active
107,223,7,mortgage,26184470.18,5.43,2021-05-13,240,115026.20,7639862.18,paid_off
108,227,3,mortgage,23093288.22,14.53,2025-02-16,240,110203.10,16550433.96,active
109,230,6,cash,209174.76,14.85,2021-01-24,36,6673.26,149992.36,active
110,231,3,mortgage,22808040.75,5.02,2024-04-17,240,99804.18,19603958.72,paid_off
111,232,10,mortgage,6135365.43,8.86,2024-11-22,240,27829.00,1985733.29,active
112,233,5,mortgage,18467207.18,10.83,2024-04-11,240,85280.02,9056735.54,overdue
113,234,4,business,3753850.27,11.12,2021-08-01,84,49658.08,2529018.70,active
114,237,9,auto,788268.92,11.17,2025-01-22,60,14605.31,519196.05,paid_off
115,238,10,mortgage,19881250.84,5.30,2021-12-02,240,87228.99,14453262.09,active
116,240,5,mortgage,7448952.88,8.19,2024-03-28,240,33579.26,5588048.77,active
117,241,7,business,3605901.94,9.98,2022-10-29,84,47211.56,1816966.22,active
118,244,10,business,1771908.28,10.82,2024-11-16,84,23376.53,751252.78,paid_off
119,245,10,business,5781838.62,8.43,2022-05-18,84,74633.90,4902239.45,active
120,251,9,cash,1406331.98,6.95,2020-09-07,36,41779.78,1401040.53,active
121,255,8,mortgage,22070813.00,4.36,2023-10-11,240,95971.25,3745127.21,paid_off
122,256,6,auto,1975956.38,6.12,2024-03-13,60,34948.08,341079.51,paid_off
123,262,5,cash,378042.28,14.39,2026-07-24,36,12012.29,295343.27,active
124,263,10,mortgage,19436132.82,10.17,2024-10-14,240,89219.95,14167071.38,paid_off
125,266,9,mortgage,12489435.60,10.84,2026-05-02,240,57680.38,5345385.68,active
126,272,9,cash,893918.76,13.38,2025-09-09,36,28153.47,370270.89,active
127,275,9,business,3639734.02,6.62,2023-10-18,84,46198.62,3402087.67,active
128,276,5,auto,1990633.74,5.28,2021-10-09,60,34928.99,1964166.89,active
129,278,10,auto,3124103.78,12.89,2025-06-13,60,58780.01,1270945.34,active
130,279,5,mortgage,6685044.42,5.41,2025-06-07,240,29361.27,2887574.66,active
131,282,8,auto,1465979.63,13.60,2023-11-25,60,27755.88,1143029.47,active
132,285,10,auto,2906808.05,3.06,2024-04-02,60,49929.27,1976978.08,active
133,296,4,cash,516107.16,12.29,2025-03-09,36,16098.24,274460.68,active
134,298,5,auto,3673280.56,7.46,2021-12-07,60,65788.45,798432.77,active
135,301,2,mortgage,28922751.87,5.65,2023-01-17,240,127320.36,14444121.62,active
136,303,7,cash,199965.35,12.08,2019-02-12,36,6225.59,132894.20,paid_off
137,304,8,business,6604689.79,4.18,2025-07-06,84,81913.88,3564041.31,active
138,305,10,business,7330972.57,3.34,2022-07-08,84,90188.42,7107549.23,active
139,310,4,auto,556054.90,6.92,2024-09-02,60,9908.90,406569.48,paid_off
140,317,8,cash,388187.88,13.78,2022-04-07,36,12268.89,236329.95,active
141,320,4,auto,3707880.24,9.20,2020-02-02,60,67483.42,1857581.95,active
142,323,7,auto,3992976.04,10.87,2025-06-24,60,73783.54,2755420.72,active
143,327,1,business,8853742.33,7.05,2026-04-26,84,112832.51,2434298.41,active
144,329,6,mortgage,15012015.72,14.77,2026-07-07,240,71788.71,11498123.45,active
145,332,9,auto,3967998.81,13.64,2022-05-27,60,75153.90,3344239.72,active
146,335,4,mortgage,14150421.70,3.50,2022-12-05,240,61023.69,13212798.68,active
147,339,4,auto,1484116.54,6.82,2022-03-25,60,26422.22,718147.78,paid_off
148,342,5,mortgage,23507995.89,9.98,2023-10-03,240,107725.39,11813167.81,active
149,344,2,mortgage,18633703.77,8.39,2024-11-06,240,84154.46,13510276.39,active
150,346,10,cash,984497.62,14.06,2023-09-27,36,31192.17,850550.62,active
151,348,9,business,8976256.04,5.26,2024-04-30,84,112481.04,6808044.21,paid_off
152,349,4,business,8786881.21,12.95,2023-08-15,84,118152.17,3615281.23,overdue
153,352,4,business,9247927.93,9.23,2022-12-28,84,120256.09,3613311.36,active
154,355,7,business,6621266.20,9.50,2025-02-26,84,86312.93,2783752.86,active
155,358,9,mortgage,16416937.62,4.35,2023-03-09,240,71379.48,2815995.79,active
156,359,7,cash,1673289.21,14.18,2020-04-30,36,53071.16,1173237.60,active
157,362,7,mortgage,19861562.70,13.94,2024-07-20,240,94292.77,8317293.65,active
158,363,4,mortgage,13208497.48,4.62,2024-08-01,240,57578.04,9834989.66,active
159,365,3,auto,3891304.62,8.01,2026-06-10,60,70049.97,3339594.05,active
160,366,1,mortgage,12849823.40,9.28,2025-10-11,240,58509.53,9269461.46,active
161,368,3,mortgage,24221082.79,4.31,2024-03-07,240,105270.88,17768838.72,active
162,369,7,cash,1478894.78,7.91,2022-06-05,36,44329.87,248418.73,active
163,370,9,business,5353171.80,11.35,2024-04-15,84,70961.39,4861671.81,active
164,371,7,auto,3632023.23,14.18,2023-10-02,60,69117.40,828829.03,paid_off
165,373,3,business,1305550.61,14.07,2023-08-27,84,17729.07,257169.56,paid_off
166,375,2,business,4978458.89,9.05,2025-02-24,84,64631.06,2932103.08,active
167,377,7,business,5552412.88,8.60,2024-02-26,84,71784.77,2356560.44,active
168,381,1,auto,1261141.96,9.01,2026-07-18,60,22912.85,244707.07,active
169,384,8,business,7994779.68,7.61,2025-01-03,84,102418.84,7725376.08,active
170,387,5,business,3574719.57,12.91,2025-03-18,84,48050.19,3149355.47,paid_off
171,390,3,auto,3066232.25,14.15,2026-04-12,60,58335.07,2789525.37,paid_off
172,394,3,auto,501339.46,3.49,2025-06-04,60,8647.27,169791.76,active
173,395,3,cash,1062956.32,9.72,2023-07-02,36,32396.55,255858.92,active
174,397,5,auto,3951766.40,8.36,2025-07-25,60,71368.90,834017.45,active
175,400,3,cash,390340.53,6.64,2024-09-10,36,11562.75,113870.22,paid_off
176,401,6,cash,853980.28,9.70,2025-02-14,36,26022.68,631884.84,active
177,404,2,mortgage,11848641.63,13.81,2023-11-27,240,56187.25,6095186.11,active
178,408,1,business,4592544.56,4.77,2025-12-11,84,57281.06,2625646.14,active
179,409,9,cash,664132.04,7.61,2025-06-24,36,19852.01,135522.54,active
