"transaction_id","account_id","transaction_timestamp","transaction_type","transaction_direction","currency","amount","channel","merchant_category","transaction_status"
1,1,2026-01-16 03:30:16.280,cash_withdrawal,debit,RSD,50330.87,atm,,completed
2,2,2022-08-26 06:41:26.870,refund,credit,RSD,2074.74,online_banking,,completed
3,3,2024-09-25 03:29:26.307,fee,debit,RSD,8999.84,online_banking,,pending
4,4,2022-02-16 15:32:32.394,cash_withdrawal,debit,RSD,36179.17,atm,,completed
5,5,2025-10-12 09:28:13.963,salary,credit,RSD,70776.08,bank_transfer,,completed
6,6,2022-04-23 18:48:11.689,cash_withdrawal,debit,RSD,48813.83,atm,,completed
7,7,2024-02-27 19:29:08.360,refund,credit,RSD,5465.19,online_banking,,completed
8,8,2026-02-22 10:08:26.183,bank_transfer,debit,RSD,122067.89,mobile_app,,completed
9,9,2026-05-31 07:48:37.603,card_payment,debit,RSD,6166.26,pos,fuel,pending
10,10,2024-04-11 10:36:08.197,refund,credit,RSD,11749.27,online_banking,,completed
11,11,2026-02-21 18:25:51.679,card_payment,debit,RSD,11410.13,pos,fuel,completed
12,12,2025-10-03 09:04:14.161,cash_withdrawal,debit,RSD,16880.05,atm,,completed
13,13,2026-07-20 21:39:04.423,fee,debit,RSD,19174.39,online_banking,,completed
14,14,2024-06-25 02:22:43.014,cash_withdrawal,debit,RSD,24227.82,atm,,completed
15,15,2025-09-16 16:55:08.608,salary,credit,RSD,281306.13,bank_transfer,,completed
16,16,2026-05-27 10:43:23.819,refund,credit,RSD,3714.11,online_banking,,completed
17,17,2025-11-24 05:28:53.138,salary,credit,RSD,259578.44,bank_transfer,,completed
18,18,2024-12-13 20:58:38.257,bank_transfer,debit,RSD,80683.42,mobile_app,,completed
19,19,2026-01-16 00:34:13.208,salary,credit,RSD,67252.56,bank_transfer,,completed
20,20,2024-10-30 02:56:02.926,bank_transfer,debit,RSD,289348.59,mobile_app,,completed
21,21,2024-06-04 16:28:06.167,bank_transfer,debit,RSD,214531.39,mobile_app,,completed
22,22,2022-11-07 14:34:48.928,bank_transfer,debit,RSD,54640.79,mobile_app,,completed
23,23,2026-07-06 23:38:58.828,bank_transfer,debit,RSD,118043.48,mobile_app,,pending
24,24,2021-06-28 23:21:29.349,bank_transfer,debit,RSD,196169.54,mobile_app,,completed
25,25,2026-02-28 15:21:28.924,refund,credit,RSD,7720.25,online_banking,,completed
26,26,2026-05-17 22:06:09.189,fee,debit,RSD,29590.89,online_banking,,completed
27,27,2026-06-16 09:31:06.360,bank_transfer,debit,RSD,44291.23,mobile_app,,completed
28,28,2025-11-29 10:58:26.886,cash_withdrawal,debit,RSD,16358.85,atm,,completed
29,29,2026-06-07 19:03:34.910,card_payment,debit,RSD,10844.73,pos,restaurants,completed
30,30,2026-03-11 12:14:57.072,cash_withdrawal,debit,RSD,10460.58,atm,,completed
31,31,2026-04-20 15:09:18.150,refund,credit,RSD,27728.07,online_banking,,pending
32,32,2022-10-15 20:34:12.584,fee,debit,RSD,17839.53,online_banking,,completed
33,33,2026-06-06 10:04:34.985,salary,credit,RSD,142981.36,bank_transfer,,completed
34,34,2026-05-05 01:04:08.187,card_payment,debit,RSD,1947.22,pos,shopping,completed
35,35,2025-07-19 02:10:32.053,salary,credit,RSD,142860.88,bank_transfer,,completed
